Code,label,iname
"Establishments providing computer data processing services at their own facility for others are classified in Industry 51821, Data Processing, Hosting, and Related Services.",naics_definition,0d1bbe88-8f37-11e7-b164-1cc1de329608
"Retailing fresh meat in delicatessen-type establishments--are classified in Industry 445210, Meat Markets.",naics_definition,0d141bba-8f37-11e7-b164-1cc1de329608
"Animal or plant aquaculture (except finfish and shellfish)--are classified in U.S. Industry 112519, Other Aquaculture;",naics_definition,0d002fba-8f37-11e7-b164-1cc1de329608
"Coating or laminating nonplastics film, sheet, or bags with plastics--are classified in Industry 322220, Paper Bag and Coated and Treated Paper Manufacturing.",naics_definition,0d0c7768-8f37-11e7-b164-1cc1de329608
"Manufacturing in-vitro diagnostic substances--are classified in U.S. Industry 325413, In-Vitro Diagnostic Substance Manufacturing; and",naics_definition,0d0c76de-8f37-11e7-b164-1cc1de329608
"Laboratory testing for the medical profession--are classified in Industry 62151, Medical and Diagnostic Laboratories;",naics_definition,0d1bbec4-8f37-11e7-b164-1cc1de329608
"Manufacturing fireworks--are classified in Industry 32599, All Other Chemical Product and Preparation Manufacturing;",naics_definition,0d0c7a16-8f37-11e7-b164-1cc1de329608
"Establishments primarily engaged in retailing floriculture products primarily purchased from others are classified in Industry 444220, Nursery, Garden Center, and Farm Supply Stores.",naics_definition,0d002f28-8f37-11e7-b164-1cc1de329608
"Manufacturing cable sets consisting of insulated wire and various connectors for electronic applications--are classified in Industry 33441, Semiconductor and Other Electronic Component Manufacturing;",naics_definition,0d1054ba-8f37-11e7-b164-1cc1de329608
"Providing specialized freight trucking--are classified in Industry Group 4842, Specialized Freight Trucking;",naics_definition,0d17ede8-8f37-11e7-b164-1cc1de329608
"Establishments primarily engaged in printing periodicals without publishing are classified in Industry 32311, Printing;",naics_definition,0d17ef2e-8f37-11e7-b164-1cc1de329608
"Refining crude petroleum into refined petroleum and liquid hydrocarbons--are classified in Industry 324110, Petroleum Refineries.",naics_definition,0d002ff8-8f37-11e7-b164-1cc1de329608
"Providing beauty salon services--are classified in U.S. Industry 812112, Beauty Salons; and",naics_definition,0d141bfc-8f37-11e7-b164-1cc1de329608
"Retailing new womens accessories--are classified in Industry 448150, Clothing Accessories Stores;",naics_definition,0d141c42-8f37-11e7-b164-1cc1de329608
"Manufacturing paperboard--are classified in Industry 322130, Paperboard Mills;",naics_definition,0d08af76-8f37-11e7-b164-1cc1de329608
"Leasing heavy equipment in combination with providing loans to buyers of such equipment--are classified in Sector 52, Finance and Insurance.",naics_definition,0d1bbe5a-8f37-11e7-b164-1cc1de329608
"Publishing newspapers or operating television stations or on-line information services--are classified in Sector 51, Information; and",naics_definition,0d1bbfa6-8f37-11e7-b164-1cc1de329608
"Providing Internet access services via client-supplied telecommunications connections (e.g., dial-up ISPs)--are classified in Industry 51791, Other Telecommunications;",naics_definition,0d17eff0-8f37-11e7-b164-1cc1de329608
"Providing telemarketing services for others--are classified in Industry 56142, Telephone Call Centers;",naics_definition,0d2362d6-8f37-11e7-b164-1cc1de329608
